nohup: ignoring input
Loading weights from /autofs/space/nicc_005/users/olchanyi/DiffSR/models_fused/model_fused_v1/checkpoint_1100.pth
Epoch 1101 of 2000
Found 300 cases for training
   Iteration 1 of 100, tot loss = 4.8497419357299805, l1: 0.00010021883645094931, l2: 0.00038475534529425204
   Iteration 21 of 100, tot loss = 4.321871513412113, l1: 8.831718427938453e-05, l2: 0.00034386996759123924
   Iteration 22 of 100, tot loss = 4.285967658866536, l1: 8.74554610742383e-05, l2: 0.0003411413060596467
   Iteration 23 of 100, tot loss = 4.377093610556229, l1: 8.830185327931996e-05, l2: 0.00034940751008790636
   Iteration 24 of 100, tot loss = 4.375944996873538, l1: 8.836555783394336e-05, l2: 0.0003492289439842959
   Iteration 25 of 100, tot loss = 4.395056519508362, l1: 8.879692730261013e-05, l2: 0.0003507087257457897
   Iteration 26 of 100, tot loss = 4.354756589119251, l1: 8.800939646719668e-05, l2: 0.00034746626344992995
   Iteration 27 of 100, tot loss = 4.315937117294029, l1: 8.845588093175104e-05, l2: 0.00034313783194024665
   Iteration 28 of 100, tot loss = 4.343414123569216, l1: 8.91852591199235e-05, l2: 0.00034515615438327326
   Iteration 29 of 100, tot loss = 4.413694402267193, l1: 9.125057464377184e-05, l2: 0.00035011886613009946
   Iteration 30 of 100, tot loss = 4.397917075951894, l1: 9.187289275966274e-05, l2: 0.0003479188148048706
   Iteration 31 of 100, tot loss = 4.470138976650853, l1: 9.297428820695308e-05, l2: 0.0003540396099842544
   Iteration 32 of 100, tot loss = 4.427541423588991, l1: 9.196895609875355e-05, l2: 0.00035078518658338
   Iteration 33 of 100, tot loss = 4.429936094717546, l1: 9.195366047523831e-05, l2: 0.0003510399489614153
   Iteration 34 of 100, tot loss = 4.364772000733544, l1: 9.046430044263081e-05, l2: 0.00034601289970690715
   Iteration 35 of 100, tot loss = 4.357313254901341, l1: 9.098355876631103e-05, l2: 0.0003447477672515171
   Iteration 36 of 100, tot loss = 4.308063159386317, l1: 9.019667221663339e-05, l2: 0.00034060964430358983
   Iteration 37 of 100, tot loss = 4.281241639240368, l1: 8.920863232609967e-05, l2: 0.00033891553214965135
   Iteration 38 of 100, tot loss = 4.321962987121783, l1: 9.006734236256881e-05, l2: 0.00034212895652193477
   Iteration 39 of 100, tot loss = 4.348711554820721, l1: 9.053153366832517e-05, l2: 0.0003443396219667286
   Iteration 40 of 100, tot loss = 4.3408150464296344, l1: 9.093418784686947e-05, l2: 0.0003431473178352462
   Iteration 41 of 100, tot loss = 4.325767636299133, l1: 9.083676568258031e-05, l2: 0.00034173999851989765
   Iteration 42 of 100, tot loss = 4.302932753449395, l1: 9.077706350321282e-05, l2: 0.00033951621229616214
   Iteration 43 of 100, tot loss = 4.347207648809566, l1: 9.192588329951408e-05, l2: 0.00034279488250450773
   Iteration 44 of 100, tot loss = 4.395397459918803, l1: 9.281383137766335e-05, l2: 0.0003467259154025338
   Iteration 45 of 100, tot loss = 4.433469965722826, l1: 9.382503364273968e-05, l2: 0.00034952196260241584
   Iteration 46 of 100, tot loss = 4.439479115216629, l1: 9.437618562356954e-05, l2: 0.0003495717249714526
   Iteration 47 of 100, tot loss = 4.440797493812886, l1: 9.44204107230341e-05, l2: 0.0003496593374020836
   Iteration 48 of 100, tot loss = 4.407953607539336, l1: 9.417530168320809e-05, l2: 0.0003466200581290953
   Iteration 49 of 100, tot loss = 4.400804264204843, l1: 9.378496379584398e-05, l2: 0.00034629546161693504
   Iteration 50 of 100, tot loss = 4.409448831081391, l1: 9.393267253472005e-05, l2: 0.00034701221011346206
   Iteration 51 of 100, tot loss = 4.387984984061298, l1: 9.323676032877033e-05, l2: 0.0003455617375484686
   Iteration 52 of 100, tot loss = 4.386317645127956, l1: 9.345147582979944e-05, l2: 0.00034518028825494606
   Iteration 53 of 100, tot loss = 4.425650072547625, l1: 9.396798026809504e-05, l2: 0.0003485970261159687
   Iteration 54 of 100, tot loss = 4.443139427238041, l1: 9.425027046408677e-05, l2: 0.0003500636712824753
   Iteration 55 of 100, tot loss = 4.453038690306924, l1: 9.483983674065463e-05, l2: 0.0003504640314283527
   Iteration 56 of 100, tot loss = 4.474733026964324, l1: 9.493133932535005e-05, l2: 0.0003525419625865262
   Iteration 57 of 100, tot loss = 4.454224902286864, l1: 9.423896756887093e-05, l2: 0.0003511835221025537
   Iteration 58 of 100, tot loss = 4.469427567103813, l1: 9.417585163740521e-05, l2: 0.00035276690498998005
   Iteration 59 of 100, tot loss = 4.495416235115568, l1: 9.472588684175053e-05, l2: 0.0003548157359453676
   Iteration 60 of 100, tot loss = 4.474185667435328, l1: 9.493401794316014e-05, l2: 0.0003524845480569638
   Iteration 61 of 100, tot loss = 4.488522570641314, l1: 9.552051713279845e-05, l2: 0.00035333173964019926
   Iteration 62 of 100, tot loss = 4.482783173361132, l1: 9.536748415660939e-05, l2: 0.0003529108329413218
   Iteration 63 of 100, tot loss = 4.465854279578678, l1: 9.525563834199963e-05, l2: 0.0003513297895782642
   Iteration 64 of 100, tot loss = 4.447225162759423, l1: 9.466898166010651e-05, l2: 0.00035005353447559173
   Iteration 65 of 100, tot loss = 4.4472936355150665, l1: 9.477516029549476e-05, l2: 0.00034995420316520794
   Iteration 66 of 100, tot loss = 4.405068323467717, l1: 9.396424998571588e-05, l2: 0.0003465425823268368
   Iteration 67 of 100, tot loss = 4.361218391959347, l1: 9.308537254813684e-05, l2: 0.000343036466584812
   Iteration 68 of 100, tot loss = 4.342015031506033, l1: 9.260078995259177e-05, l2: 0.00034160071332093244
   Iteration 69 of 100, tot loss = 4.3498315154642295, l1: 9.275699161715211e-05, l2: 0.00034222616006340155
   Iteration 70 of 100, tot loss = 4.335411936896188, l1: 9.251391269832051e-05, l2: 0.0003410272812678678
   Iteration 71 of 100, tot loss = 4.352258507634552, l1: 9.271355786911724e-05, l2: 0.0003425122926734768
   Iteration 72 of 100, tot loss = 4.338864482111401, l1: 9.261775560137014e-05, l2: 0.0003412686925609402
   Iteration 73 of 100, tot loss = 4.3290084714758885, l1: 9.219274544779033e-05, l2: 0.0003407081013604399
   Iteration 74 of 100, tot loss = 4.3264335973842725, l1: 9.209954058295241e-05, l2: 0.0003405438188024532
   Iteration 75 of 100, tot loss = 4.3223471864064535, l1: 9.160207647558613e-05, l2: 0.00034063264194022244
   Iteration 76 of 100, tot loss = 4.29900020988364, l1: 9.146240101568095e-05, l2: 0.0003384376197668883
   Iteration 77 of 100, tot loss = 4.331540302796797, l1: 9.194436680953405e-05, l2: 0.0003412096628309953
   Iteration 78 of 100, tot loss = 4.362465989895356, l1: 9.269258006474373e-05, l2: 0.00034355401863323117
   Iteration 79 of 100, tot loss = 4.367239436016807, l1: 9.30950279060981e-05, l2: 0.00034362891561107097
   Iteration 80 of 100, tot loss = 4.360300862789154, l1: 9.332637159786827e-05, l2: 0.0003427037144319911
   Iteration 81 of 100, tot loss = 4.351579516022293, l1: 9.30864734982606e-05, l2: 0.00034207147792237523
   Iteration 82 of 100, tot loss = 4.32275829809468, l1: 9.2626314609533e-05, l2: 0.00033964951500997924
   Iteration 83 of 100, tot loss = 4.341699406325099, l1: 9.292699892777973e-05, l2: 0.0003412429411462172
   Iteration 84 of 100, tot loss = 4.345967390707561, l1: 9.258802518680958e-05, l2: 0.0003420087134491907
   Iteration 85 of 100, tot loss = 4.331514317849103, l1: 9.242210696410278e-05, l2: 0.00034072932432857616
   Iteration 86 of 100, tot loss = 4.359737350497135, l1: 9.284130739911762e-05, l2: 0.00034313242746108254
   Iteration 87 of 100, tot loss = 4.334385725273483, l1: 9.251504960194251e-05, l2: 0.0003409235228566271
   Iteration 88 of 100, tot loss = 4.35180315239863, l1: 9.292277544855924e-05, l2: 0.00034225753924229963
   Iteration 89 of 100, tot loss = 4.3698309954632535, l1: 9.31429888450101e-05, l2: 0.00034384010989137854
   Iteration 90 of 100, tot loss = 4.389196349514855, l1: 9.332133542759241e-05, l2: 0.00034559829873614945
   Iteration 91 of 100, tot loss = 4.387799253830543, l1: 9.35294275212992e-05, l2: 0.00034525049704825506
   Iteration 92 of 100, tot loss = 4.365627207185911, l1: 9.316262588507253e-05, l2: 0.00034340009409314246
   Iteration 93 of 100, tot loss = 4.35365451664053, l1: 9.290329402848398e-05, l2: 0.0003424621570037968
   Iteration 94 of 100, tot loss = 4.343489506143205, l1: 9.295764485091724e-05, l2: 0.0003413913052119166
   Iteration 95 of 100, tot loss = 4.370611382785596, l1: 9.347909899109877e-05, l2: 0.0003435820387829536
   Iteration 96 of 100, tot loss = 4.367439415305853, l1: 9.35086766276072e-05, l2: 0.0003432352645328744
   Iteration 97 of 100, tot loss = 4.360489939905934, l1: 9.3625668126048e-05, l2: 0.0003424233256043511
   Iteration 98 of 100, tot loss = 4.398696175643376, l1: 9.41554306114178e-05, l2: 0.00034571418721924955
   Iteration 99 of 100, tot loss = 4.37756895176088, l1: 9.363798270704027e-05, l2: 0.0003441189127801353
   Iteration 100 of 100, tot loss = 4.374931839704513, l1: 9.357457940495806e-05, l2: 0.00034391860484902283

   End of epoch 1240; saving model... 

Epoch 1241 of 2000
   Iteration 1 of 100, tot loss = 3.647789239883423, l1: 8.086385787464678e-05, l2: 0.0002839150547515601
   Iteration 2 of 100, tot loss = 5.133833050727844, l1: 0.00011028937296941876, l2: 0.0004030939453514293
   Iteration 3 of 100, tot loss = 4.741419712702434, l1: 0.000107820885508166, l2: 0.00036632109549827874
   Iteration 4 of 100, tot loss = 4.9412320256233215, l1: 0.00011046335748687852, l2: 0.00038365985528798774
   Iteration 5 of 100, tot loss = 4.404142904281616, l1: 0.00010212626366410405, l2: 0.0003382880357094109
   Iteration 6 of 100, tot loss = 4.519687136014302, l1: 0.00010099799328600056, l2: 0.0003509707312332466
   Iteration 7 of 100, tot loss = 4.679846729551043, l1: 0.0001012633230337607, l2: 0.0003667213604785502
   Iteration 8 of 100, tot loss = 4.583395451307297, l1: 9.909781056194333e-05, l2: 0.00035924174153478816
   Iteration 9 of 100, tot loss = 4.645685752232869, l1: 9.858724014419649e-05, l2: 0.0003659813438490447
   Iteration 10 of 100, tot loss = 4.537251329421997, l1: 9.740767200128175e-05, l2: 0.0003563174686860293
   Iteration 11 of 100, tot loss = 4.96573374488137, l1: 0.00010432904144346884, l2: 0.00039224434030157596
   Iteration 12 of 100, tot loss = 4.93108316262563, l1: 0.00010420337457617279, l2: 0.0003889049500382195
   Iteration 13 of 100, tot loss = 4.780302964724028, l1: 0.0001008072901570883, l2: 0.0003772230131569533
   Iteration 14 of 100, tot loss = 4.699840732983181, l1: 0.00010011117722439979, l2: 0.0003698729009816556
   Iteration 15 of 100, tot loss = 4.642157491048177, l1: 9.971945740592977e-05, l2: 0.00036449629600004605
   Iteration 16 of 100, tot loss = 4.643769353628159, l1: 9.788563102119952e-05, l2: 0.00036649130834121024
   Iteration 17 of 100, tot loss = 4.629211145288804, l1: 9.920706061701126e-05, l2: 0.00036371405910947085
   Iteration 18 of 100, tot loss = 4.54375876320733, l1: 9.815021945137737e-05, l2: 0.00035622566226973303
   Iteration 19 of 100, tot loss = 4.7248995931524975, l1: 0.0001001287547344538, l2: 0.00037236120796909456
   Iteration 20 of 100, tot loss = 4.683987092971802, l1: 9.9822691117879e-05, l2: 0.00036857602099189536
   Iteration 21 of 100, tot loss = 4.6292344729105634, l1: 9.976654525546889e-05, l2: 0.00036315690487667565
   Iteration 22 of 100, tot loss = 4.7252678437666455, l1: 0.00010137174070802179, l2: 0.0003711550472706387
   Iteration 23 of 100, tot loss = 4.792057431262473, l1: 0.00010341863209918222, l2: 0.0003757871138235635
   Iteration 24 of 100, tot loss = 4.834757228692372, l1: 0.00010429205910137777, l2: 0.00037918366797384806
   Iteration 25 of 100, tot loss = 4.852665119171142, l1: 0.00010508277016924695, l2: 0.00038018374587409196
   Iteration 26 of 100, tot loss = 4.830781918305617, l1: 0.00010486798503104813, l2: 0.0003782102117279115
   Iteration 27 of 100, tot loss = 4.815227314277932, l1: 0.00010584604724836363, l2: 0.000375676688876141
   Iteration 28 of 100, tot loss = 4.813842296600342, l1: 0.00010586079848248378, l2: 0.00037552343565039337
   Iteration 29 of 100, tot loss = 4.742960979198587, l1: 0.00010438067417045862, l2: 0.0003699154275919086
   Iteration 30 of 100, tot loss = 4.667034347852071, l1: 0.00010328784943946327, l2: 0.0003634155887993984
   Iteration 31 of 100, tot loss = 4.634784006303357, l1: 0.00010320722761999576, l2: 0.00036027117664249794
   Iteration 32 of 100, tot loss = 4.659549325704575, l1: 0.00010322669686502195, l2: 0.00036272823990657344
   Iteration 33 of 100, tot loss = 4.598517526279796, l1: 0.00010255289750851013, l2: 0.0003572988595503072
   Iteration 34 of 100, tot loss = 4.623749950352837, l1: 0.00010229928739136085, l2: 0.0003600757113685284
   Iteration 35 of 100, tot loss = 4.600004100799561, l1: 0.00010176142282684201, l2: 0.00035823899088427424
   Iteration 36 of 100, tot loss = 4.61933512157864, l1: 0.00010167958316742443, l2: 0.00036025393233608664
   Iteration 37 of 100, tot loss = 4.68112140088468, l1: 0.00010245128706210872, l2: 0.00036566085543961744
   Iteration 38 of 100, tot loss = 4.768023152100413, l1: 0.00010395348860918985, l2: 0.0003728488280964819
   Iteration 39 of 100, tot loss = 4.7243559666168995, l1: 0.00010286722886704434, l2: 0.000369568369560278
   Iteration 40 of 100, tot loss = 4.666993552446366, l1: 0.00010196756593359169, l2: 0.0003647317906143144
   Iteration 41 of 100, tot loss = 4.65881141220651, l1: 0.00010221123694663686, l2: 0.00036366990548785685
   Iteration 42 of 100, tot loss = 4.667119678996858, l1: 0.00010218650918215557, l2: 0.0003645254598398294
   Iteration 43 of 100, tot loss = 4.687300199686095, l1: 0.00010281192767569188, l2: 0.0003659180934042778
   Iteration 44 of 100, tot loss = 4.638512372970581, l1: 0.00010202713780348527, l2: 0.0003618241005989892
   Iteration 45 of 100, tot loss = 4.658825916714139, l1: 0.00010190565856949736, l2: 0.0003639769345884108
   Iteration 46 of 100, tot loss = 4.67042554979739, l1: 0.0001021077982643518, l2: 0.000364934757944075
   Iteration 47 of 100, tot loss = 4.660826997554048, l1: 0.00010197726836888754, l2: 0.0003641054326509859
   Iteration 48 of 100, tot loss = 4.637264509995778, l1: 0.00010090552329226436, l2: 0.00036282092878536787
   Iteration 49 of 100, tot loss = 4.586275241812881, l1: 0.00010010057659962271, l2: 0.00035852694893445897
   Iteration 50 of 100, tot loss = 4.581219153404236, l1: 0.00010011088641476818, l2: 0.0003580110298935324
   Iteration 51 of 100, tot loss = 4.596698382321526, l1: 0.00010024328694984718, l2: 0.0003594265521421809
   Iteration 52 of 100, tot loss = 4.574668998901661, l1: 9.982221252777471e-05, l2: 0.0003576446878679025
   Iteration 53 of 100, tot loss = 4.553591197391726, l1: 9.940582135898712e-05, l2: 0.0003559532990450707
   Iteration 54 of 100, tot loss = 4.534781729733503, l1: 9.904866385989374e-05, l2: 0.00035442950967181887
   Iteration 55 of 100, tot loss = 4.514967792684382, l1: 9.862112968800251e-05, l2: 0.0003528756502253765
   Iteration 56 of 100, tot loss = 4.514014912503106, l1: 9.789247990608731e-05, l2: 0.00035350901193201674
   Iteration 57 of 100, tot loss = 4.48027799840559, l1: 9.74116888404783e-05, l2: 0.0003506161112710017
   Iteration 58 of 100, tot loss = 4.450353716981822, l1: 9.656441115707978e-05, l2: 0.00034847096058315244
   Iteration 59 of 100, tot loss = 4.432115324472977, l1: 9.63441830131391e-05, l2: 0.00034686734937368184
   Iteration 60 of 100, tot loss = 4.462395258744558, l1: 9.671842581155942e-05, l2: 0.0003495210999972187
   Iteration 61 of 100, tot loss = 4.4759823259760125, l1: 9.671492223221366e-05, l2: 0.0003508833097675663
   Iteration 62 of 100, tot loss = 4.490873540601423, l1: 9.720629186044642e-05, l2: 0.0003518810614966036
   Iteration 63 of 100, tot loss = 4.481564510436285, l1: 9.661899613482612e-05, l2: 0.00035153745418591866
   Iteration 64 of 100, tot loss = 4.490201476961374, l1: 9.703588602860691e-05, l2: 0.0003519842616697133
   Iteration 65 of 100, tot loss = 4.474772834777832, l1: 9.684491401108411e-05, l2: 0.00035063236942872977
   Iteration 66 of 100, tot loss = 4.460315682671287, l1: 9.649915889233604e-05, l2: 0.0003495324093488638
   Iteration 67 of 100, tot loss = 4.4719820947789435, l1: 9.653878230132413e-05, l2: 0.000350659426889007
   Iteration 68 of 100, tot loss = 4.44148490709417, l1: 9.628259335038499e-05, l2: 0.00034786589715034044
   Iteration 69 of 100, tot loss = 4.430411777634552, l1: 9.609679640878154e-05, l2: 0.0003469443812112634
   Iteration 70 of 100, tot loss = 4.4380425351006645, l1: 9.626872540268648e-05, l2: 0.0003475355273362116
   Iteration 71 of 100, tot loss = 4.425636140393539, l1: 9.634106585585421e-05, l2: 0.0003462225474617247
   Iteration 72 of 100, tot loss = 4.425591968827778, l1: 9.639078083030957e-05, l2: 0.00034616841508573596
   Iteration 73 of 100, tot loss = 4.42336894714669, l1: 9.62613924719036e-05, l2: 0.0003460755012371284
   Iteration 74 of 100, tot loss = 4.4472942255638745, l1: 9.662965198544584e-05, l2: 0.0003480997695225744
   Iteration 75 of 100, tot loss = 4.493470106124878, l1: 9.747202139503012e-05, l2: 0.0003518749876335884
   Iteration 76 of 100, tot loss = 4.516991179240377, l1: 9.791654749853096e-05, l2: 0.00035378256890046604
   Iteration 77 of 100, tot loss = 4.502224278140377, l1: 9.756094170205125e-05, l2: 0.00035266148462413823
   Iteration 78 of 100, tot loss = 4.5084392841045675, l1: 9.786435979409501e-05, l2: 0.0003529795669750549
   Iteration 79 of 100, tot loss = 4.514197234865986, l1: 9.811769876573117e-05, l2: 0.0003533020228386232
   Iteration 80 of 100, tot loss = 4.522639036178589, l1: 9.830966528170392e-05, l2: 0.00035395423674344784
   Iteration 81 of 100, tot loss = 4.5519166522555885, l1: 9.878260023492377e-05, l2: 0.00035640906329111505
   Iteration 82 of 100, tot loss = 4.572231769561768, l1: 9.910351741936898e-05, l2: 0.000358119657903444
   Iteration 83 of 100, tot loss = 4.561571399849582, l1: 9.910893198369206e-05, l2: 0.000357048206433867
   Iteration 84 of 100, tot loss = 4.579281792754219, l1: 9.890666478895582e-05, l2: 0.00035902151302295913
   Iteration 85 of 100, tot loss = 4.616862726211548, l1: 9.931666701210334e-05, l2: 0.00036236960423754197
   Iteration 86 of 100, tot loss = 4.6201128266578495, l1: 9.92704602161444e-05, l2: 0.0003627408212957752
   Iteration 87 of 100, tot loss = 4.6424665642880845, l1: 9.987967395914141e-05, l2: 0.00036436698152603387
   Iteration 88 of 100, tot loss = 4.638373854485425, l1: 9.955292303361189e-05, l2: 0.0003642844612014332
   Iteration 89 of 100, tot loss = 4.631682259313176, l1: 9.935720340712414e-05, l2: 0.0003638110214156318
   Iteration 90 of 100, tot loss = 4.618005365795559, l1: 9.926338324375036e-05, l2: 0.00036253715241198534
   Iteration 91 of 100, tot loss = 4.606767002042833, l1: 9.931549904829628e-05, l2: 0.00036136120040312534
   Iteration 92 of 100, tot loss = 4.5933622173641036, l1: 9.901266521015002e-05, l2: 0.0003603235557460246
   Iteration 93 of 100, tot loss = 4.625748054955595, l1: 9.93978045630439e-05, l2: 0.00036317700008806645
   Iteration 94 of 100, tot loss = 4.6673446158145335, l1: 0.00010008379560647572, l2: 0.0003666506652618719
   Iteration 95 of 100, tot loss = 4.718141259645161, l1: 0.00010092726550187524, l2: 0.0003708868598455171
   Iteration 96 of 100, tot loss = 4.7355773995320005, l1: 0.00010106696087556581, l2: 0.0003724907787727716
   Iteration 97 of 100, tot loss = 4.6984170417195745, l1: 0.00010032451924773115, l2: 0.00036951718462172647
   Iteration 98 of 100, tot loss = 4.699665801865714, l1: 0.00010057276327012116, l2: 0.00036939381651772776
   Iteration 99 of 100, tot loss = 4.723502296389955, l1: 0.00010078173021831776, l2: 0.00037156849915239337
   Iteration 100 of 100, tot loss = 4.760426037311554, l1: 0.00010146455340873217, l2: 0.0003745780504686991

   End of epoch 1241; saving model... 

Epoch 1242 of 2000
   Iteration 1 of 100, tot loss = 2.2697343826293945, l1: 4.050057759741321e-05, l2: 0.00018647286924533546
   Iteration 2 of 100, tot loss = 3.4331183433532715, l1: 7.46835175959859e-05, l2: 0.00026862832601182163
   Iteration 3 of 100, tot loss = 3.053069512049357, l1: 6.987771363734889e-05, l2: 0.00023542924706513682
   Iteration 4 of 100, tot loss = 3.2717226147651672, l1: 7.764340170979267e-05, l2: 0.000249528864515014
   Iteration 5 of 100, tot loss = 3.633335733413696, l1: 8.832483363221399e-05, l2: 0.0002750087413005531
   Iteration 6 of 100, tot loss = 4.100466052691142, l1: 9.752853596485996e-05, l2: 0.00031251807619507116
   Iteration 7 of 100, tot loss = 4.328803164618356, l1: 0.00010347236353222147, l2: 0.0003294079547881016
   Iteration 8 of 100, tot loss = 4.152420252561569, l1: 9.786793270905036e-05, l2: 0.00031737409335619304
   Iteration 9 of 100, tot loss = 3.870098657078213, l1: 9.186493520650806e-05, l2: 0.0002951449326549967
   Iteration 10 of 100, tot loss = 3.9162659287452697, l1: 9.044879407156259e-05, l2: 0.0003011777997016907
   Iteration 11 of 100, tot loss = 3.985880559140986, l1: 9.156592039454898e-05, l2: 0.0003070221335457807
   Iteration 12 of 100, tot loss = 3.878299822409948, l1: 8.76108667095347e-05, l2: 0.0003002191127355521
   Iteration 13 of 100, tot loss = 3.961399656075698, l1: 8.774720649503601e-05, l2: 0.00030839275747824175
   Iteration 14 of 100, tot loss = 4.08700509582247, l1: 8.777481967367098e-05, l2: 0.00032092568913607726
   Iteration 15 of 100, tot loss = 4.105332048734029, l1: 8.942978505122786e-05, l2: 0.0003211034170817584
   Iteration 16 of 100, tot loss = 4.098315127193928, l1: 9.054821293830173e-05, l2: 0.00031928329735819716
   Iteration 17 of 100, tot loss = 4.184107591124142, l1: 9.245330276077285e-05, l2: 0.00032595745185116194
   Iteration 18 of 100, tot loss = 4.292513880464766, l1: 9.399255132949393e-05, l2: 0.0003352588343356426
   Iteration 19 of 100, tot loss = 4.3580443294424756, l1: 9.653387410492685e-05, l2: 0.0003392705555980731
   Iteration 20 of 100, tot loss = 4.386857563257218, l1: 9.683603966550435e-05, l2: 0.0003418497130041942
   Iteration 21 of 100, tot loss = 4.375047280674889, l1: 9.689039801568946e-05, l2: 0.00034061432788370265
   Iteration 22 of 100, tot loss = 4.407430502501401, l1: 9.647068873164244e-05, l2: 0.0003442723603008992
   Iteration 23 of 100, tot loss = 4.310115435849065, l1: 9.481843928528099e-05, l2: 0.00033619310314584845
   Iteration 24 of 100, tot loss = 4.365894868969917, l1: 9.598404494681745e-05, l2: 0.0003406054402148584
   Iteration 25 of 100, tot loss = 4.327227387428284, l1: 9.52225575747434e-05, l2: 0.00033750017930287866
   Iteration 26 of 100, tot loss = 4.327294354255383, l1: 9.49574217744297e-05, l2: 0.00033777201259419177
   Iteration 27 of 100, tot loss = 4.278464401209796, l1: 9.41697495970099e-05, l2: 0.00033367668867059465
   Iteration 28 of 100, tot loss = 4.306403802973883, l1: 9.553054444820321e-05, l2: 0.0003351098343305888
   Iteration 29 of 100, tot loss = 4.3120369376807375, l1: 9.553944368360981e-05, l2: 0.00033566424902127095
   Iteration 30 of 100, tot loss = 4.381358905633291, l1: 9.618107469577808e-05, l2: 0.00034195481518205874
   Iteration 31 of 100, tot loss = 4.3330901015189385, l1: 9.593350172977924e-05, l2: 0.0003373755077313211
   Iteration 32 of 100, tot loss = 4.395049136132002, l1: 9.548084710786497e-05, l2: 0.00034402406663502916
   Iteration 33 of 100, tot loss = 4.426828366337401, l1: 9.583261216352129e-05, l2: 0.0003468502241461961
   Iteration 34 of 100, tot loss = 4.421626774703755, l1: 9.576097545505036e-05, l2: 0.0003464017016299562
   Iteration 35 of 100, tot loss = 4.382371926307679, l1: 9.51354943806239e-05, l2: 0.00034310169825662993
   Iteration 36 of 100, tot loss = 4.419600033097797, l1: 9.648228246482581e-05, l2: 0.0003454777199496877
   Iteration 37 of 100, tot loss = 4.423938077849311, l1: 9.626283507394553e-05, l2: 0.00034613097188805506
   Iteration 38 of 100, tot loss = 4.376557641907742, l1: 9.503049573380083e-05, l2: 0.00034262526797216485
   Iteration 39 of 100, tot loss = 4.380534089528597, l1: 9.586116310600072e-05, l2: 0.00034219224508911465
   Iteration 40 of 100, tot loss = 4.421832671761512, l1: 9.673701815700042e-05, l2: 0.00034544624759291764
   Iteration 41 of 100, tot loss = 4.374496090702895, l1: 9.581834651393497e-05, l2: 0.00034163126128543985
   Iteration 42 of 100, tot loss = 4.4112287277267095, l1: 9.61102847386861e-05, l2: 0.000345012586746764
   Iteration 43 of 100, tot loss = 4.429233143495959, l1: 9.671064651419603e-05, l2: 0.00034621266612978
   Iteration 44 of 100, tot loss = 4.433596061034636, l1: 9.676983427198138e-05, l2: 0.00034658976999873465
   Iteration 45 of 100, tot loss = 4.447429691420661, l1: 9.706431188129095e-05, l2: 0.00034767865500826803
   Iteration 46 of 100, tot loss = 4.420699645643649, l1: 9.65033470255667e-05, l2: 0.0003455666149460265
   Iteration 47 of 100, tot loss = 4.43233514085729, l1: 9.673619748122911e-05, l2: 0.00034649731427867044
   Iteration 48 of 100, tot loss = 4.474769778549671, l1: 9.756829877005657e-05, l2: 0.0003499086766775387
   Iteration 49 of 100, tot loss = 4.475708813083415, l1: 9.795052429414069e-05, l2: 0.00034962035418602125
   Iteration 50 of 100, tot loss = 4.4714924788475034, l1: 9.779071944649332e-05, l2: 0.00034935852570924905
   Iteration 51 of 100, tot loss = 4.455007924753077, l1: 9.747837255275169e-05, l2: 0.0003480224170512063
   Iteration 52 of 100, tot loss = 4.467213298265751, l1: 9.747880596058586e-05, l2: 0.00034924252059471863
   Iteration 53 of 100, tot loss = 4.41415481297475, l1: 9.656711322264218e-05, l2: 0.0003448483647552389
   Iteration 54 of 100, tot loss = 4.444071994887458, l1: 9.719544484849191e-05, l2: 0.0003472117512299317
   Iteration 55 of 100, tot loss = 4.439902682737871, l1: 9.714758052723483e-05, l2: 0.00034684268400517545
   Iteration 56 of 100, tot loss = 4.450550500835691, l1: 9.74630091669886e-05, l2: 0.00034759203754219925
   Iteration 57 of 100, tot loss = 4.4634896119435625, l1: 9.787998166294736e-05, l2: 0.00034846897605140777
   Iteration 58 of 100, tot loss = 4.445042922579009, l1: 9.764612219316468e-05, l2: 0.00034685816692593826
   Iteration 59 of 100, tot loss = 4.452897815381066, l1: 9.807156952851752e-05, l2: 0.0003472182085052906
   Iteration 60 of 100, tot loss = 4.428226816654205, l1: 9.78294512606226e-05, l2: 0.000344993226826773
   Iteration 61 of 100, tot loss = 4.412299691653643, l1: 9.783421791937264e-05, l2: 0.0003433957476250934
   Iteration 62 of 100, tot loss = 4.461271643638611, l1: 9.896183990114819e-05, l2: 0.00034716532078868286
   Iteration 63 of 100, tot loss = 4.449372386175488, l1: 9.861360290198631e-05, l2: 0.00034632363219446106
   Iteration 64 of 100, tot loss = 4.451930683106184, l1: 9.880590323518845e-05, l2: 0.00034638716113022383
   Iteration 65 of 100, tot loss = 4.486782004283024, l1: 9.922774692173474e-05, l2: 0.00034945044932940686
   Iteration 66 of 100, tot loss = 4.4767227317347675, l1: 9.907609472231178e-05, l2: 0.0003485961742901991
   Iteration 67 of 100, tot loss = 4.505660299044936, l1: 9.946898918220107e-05, l2: 0.00035109703631901337
   Iteration 68 of 100, tot loss = 4.482439952738145, l1: 9.920387973954134e-05, l2: 0.00034904011141299955
   Iteration 69 of 100, tot loss = 4.49544194124747, l1: 9.958770470288785e-05, l2: 0.0003499564852023943
   Iteration 70 of 100, tot loss = 4.502823952266148, l1: 9.972612492025032e-05, l2: 0.00035055626555861505
   Iteration 71 of 100, tot loss = 4.499729317678532, l1: 9.974559320589448e-05, l2: 0.00035022733424393406
